@RELATION Colors

% Rin, Gin, Bin - [0, 31]
% Rout, Gout, Bout - [0, 255]
@ATTRIBUTE Rin NUMERIC
@ATTRIBUTE Gin NUMERIC
@ATTRIBUTE Bin NUMERIC
@ATTRIBUTE Rout NUMERIC
@ATTRIBUTE Gout NUMERIC
@ATTRIBUTE Bout NUMERIC
@DATA
31,31,31,255,255,255
31,31,17,253,238,199
31,23,19,252,225,210
31,23,19,252,225,210
31,28,10,250,221,145
31,26,5,249,208,104
31,17,8,248,184,148
31,2,14,244,119,166
31,0,0,242,77,57
30,0,0,241,77,56
29,0,0,239,76,56
28,0,0,237,75,55
24,25,27,235,241,245
27,0,0,234,75,55
25,16,10,232,174,138
25,17,6,232,172,104
25,14,4,230,151,84
26,0,0,230,74,54
25,0,0,226,72,53
24,0,0,222,71,52
23,0,5,218,79,83
23,0,0,218,70,51
21,18,16,216,196,186
20,20,31,215,226,251
20,20,22,213,216,223
22,0,0,213,68,50
20,20,17,212,206,194
21,0,0,207,66,48
19,15,20,205,189,210
20,0,0,202,64,47
19,0,0,195,62,46
18,7,0,190,95,50
18,3,6,190,81,90
18,0,0,189,60,44
17,3,0,182,65,43
17,0,0,181,58,42
16,10,0,176,113,51
16,0,0,173,55,41
14,18,27,171,211,240
15,0,0,165,53,39
13,14,31,162,195,247
14,13,3,161,133,64
14,6,4,158,86,67
14,0,0,156,50,36
13,0,2,148,48,38
13,0,0,147,47,34
11,27,15,146,218,177
12,0,0,138,44,32
11,4,4,130,67,62
11,0,0,129,41,30
10,0,0,120,38,28
9,9,5,114,104,75
9,0,0,110,35,26
8,0,4,100,44,57
8,0,0,99,32,23
6,12,18,95,159,192
7,3,10,93,81,121
7,0,0,89,28,21
6,11,0,84,109,37
5,8,16,80,131,175
6,0,0,78,25,18
0,23,31,76,227,247
5,3,13,74,93,148
0,18,31,71,209,246
5,5,7,70,77,91
5,4,6,69,66,80
5,0,0,66,21,15
4,12,3,64,117,52
0,31,0,61,199,61
0,30,0,61,198,61
0,29,0,60,197,60
0,28,0,60,195,60
4,9,3,60,94,48
0,27,0,59,192,59
0,26,0,58,190,58
0,25,0,57,187,57
0,24,0,56,183,56
0,23,0,55,179,55
0,22,0,54,175,54
0,0,31,53,139,241
0,0,30,53,139,240
0,0,29,53,138,238
0,21,0,52,171,52
0,0,28,52,136,236
4,0,0,52,17,12
0,20,0,51,166,51
0,0,27,51,135,233
0,0,26,51,133,230
2,18,1,50,155,48
0,0,25,50,130,226
0,19,0,49,161,49
0,0,24,49,128,222
0,18,0,48,155,48
0,0,23,48,125,217
0,0,22,47,123,212
0,17,0,46,149,46
0,0,21,46,119,207
0,16,0,44,143,44
0,0,20,44,116,201
0,0,19,43,113,195
3,3,7,43,61,90
0,15,0,42,136,42
0,0,18,41,109,188
0,0,17,40,104,181
0,14,0,39,129,39
0,0,16,38,100,173
0,13,0,37,121,37
0,0,15,36,95,164
0,12,0,35,114,35
0,0,14,34,90,156
0,11,0,33,106,33
0,0,13,32,85,147
0,10,0,30,98,30
0,0,12,30,80,138
0,9,0,28,90,28
0,0,11,28,74,129
0,0,10,26,69,119
0,1,10,26,69,119
3,0,0,26,12,9
0,8,0,25,82,25
0,0,9,24,63,109
0,7,0,23,73,23
0,0,8,22,57,99
0,6,0,19,64,19
0,0,7,19,51,89
0,0,6,17,45,77
2,0,3,17,22,37
0,5,0,16,54,16
2,0,0,15,4,4
0,0,5,14,38,65
0,4,0,13,43,13
0,0,4,11,30,52
0,3,0,10,31,10
0,0,3,8,21,37
1,0,3,8,21,37
0,2,0,4,13,4
0,0,2,4,9,15
0,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
